Text,Class,image
God gave us choice and my choice is to love MY HEART,Hope_speech,images_DE/DE_HS_0001.jpg
Its just sad how people are treating black people horribly one time someone in game called my friend that shes Black like the wall thats so rude cant stand racist people they are literally messed up,Hope_speech,images_DE/DE_HS_0002.jpg
would be killed in conversion therapy because Im proud lesbian and Im not gonna lie about being lesbain Beat me all you want,Hope_speech,images_DE/DE_HS_0003.jpg
Inspiring and Go Girl,Hope_speech,images_DE/DE_HS_0004.jpg
It SHOULD be All Lives Matter No need to drag downignore other peopleraces to get ahead While were at it,Hope_speech,images_DE/DE_HS_0005.jpg
wish people would love lot of Christian denominations are loving to LGBT,Hope_speech,images_DE/DE_HS_0006.jpg
Nobody has supported the LGBT community like MADONNA even in the darkest hours she has always been an advocate fighter for human rights,Hope_speech,images_DE/DE_HS_0007.jpg
Would it be racist if an audience booing someone who said black lives matter All lives matter,Hope_speech,images_DE/DE_HS_0008.jpg
Wow didnt realise her kind of music could have that impact was fan when was younger,Hope_speech,images_DE/DE_HS_0009.jpg
The color of are skin does not define are personality or are capability of doing and accomplishing stuff Its just color or more specific its just genetic,Hope_speech,images_DE/DE_HS_0010.jpg
Why not band together and fight all racism at once peacefully,Hope_speech,images_DE/DE_HS_0011.jpg
am bi BUT did not wake up one morning oh lemme kiss guy and decided wanted to date guys people that says homosexuality is choice is dumb,Hope_speech,images_DE/DE_HS_0012.jpg
Thank you for sharing your story Marcus,Hope_speech,images_DE/DE_HS_0013.jpg
Sunshine littlephilly hmm wasnt aware that loving my soulmate who is girl would send me to hellkinda makes me the happiest ive ever been love is beautiful no matter what form,Hope_speech,images_DE/DE_HS_0014.jpg
All these are correctand yes All Lives Matter,Hope_speech,images_DE/DE_HS_0015.jpg
Im lesbian Christian The beginning statement,Hope_speech,images_DE/DE_HS_0016.jpg
Morning Madera Slavery in America ended 200yrs ago,Hope_speech,images_DE/DE_HS_0017.jpg
IT DOESNT MATTER WHATS RACE YOU ARE,Hope_speech,images_DE/DE_HS_0018.jpg
Madonna is amazing she really is she fights for what she believes in and that awesome Ive loved her since was really young,Hope_speech,images_DE/DE_HS_0019.jpg
Thank you Madonna youre by years an inspiration and an openminder knight,Hope_speech,images_DE/DE_HS_0020.jpg
Ive never been fan of Madonnas music nor do like her personality but do love that she has been great friend to the LGBTQ community Also,Hope_speech,images_DE/DE_HS_0021.jpg
Ill say it Im not scared ALL LIVES MATTER ALL LIVES MATTER,Hope_speech,images_DE/DE_HS_0022.jpg
Great talk We also need more women in science,Hope_speech,images_DE/DE_HS_0023.jpg
want to study either software engineering or computer science and this video is really inspiring,Hope_speech,images_DE/DE_HS_0024.jpg
Its so beautiful that those children will have understanding for everything and everyone and wont be judgemental as the rest of the society Love this channel,Hope_speech,images_DE/DE_HS_0025.jpg
How can you be surprised that people are surprised that you are an engineer in the same video that unbiased shows that only 10 of engineers are femalesnnThat means that your colleges are right to ask you if you are one of those mythological unicorns There is literally 90 chance youre notnnAlso you want more female engineers Good Me too Society too Dont preach to men how theyre not reacting well to you on the off chance you are an engineer Preach to young girls how engineering is cool,Hope_speech,images_DE/DE_HS_0026.jpg
theres fine line between disagreeing with them and being against them she literally said shes alright with lgbt,Hope_speech,images_DE/DE_HS_0027.jpg
We all bleed the same Stop with the Radical Fascist Liberal Left Political Pandering ALL LIVES MATTER We are all created by one true God in his image We need to stop with all the hate Period,Hope_speech,images_DE/DE_HS_0028.jpg
Im not Christian tbh Im not apart of any religion but god accepts everyone and its not cool to be the same We were made to be different not to just protest about someones choice of sexuality or religion,Hope_speech,images_DE/DE_HS_0029.jpg
All lives matter Everyone should be equal rights But the world is brokennAnd not every life is valued,Hope_speech,images_DE/DE_HS_0030.jpg
Earth angel with an iron coat :coat: she had to wear it or she wouldnt have survived all the hate We love you Madonna We see and feel your light but we also accept your dark as well For to love only one side of humanity isnt real With out night there is no light,Hope_speech,images_DE/DE_HS_0031.jpg
lewis Hi Eve Its never to early to start learning engineering Especially these days,Hope_speech,images_DE/DE_HS_0032.jpg
This was so inspiring,Hope_speech,images_DE/DE_HS_0033.jpg
what does it matter if your female or male just do your job,Hope_speech,images_DE/DE_HS_0034.jpg
Im computer science major and know that feel Of not belonging,Hope_speech,images_DE/DE_HS_0035.jpg
work for tech company and recently conducted job interviews at local engineering school Less than 10 of the candidates were women As much as we support and strive for diversity in our company,Hope_speech,images_DE/DE_HS_0036.jpg
If so many people hate racism,Hope_speech,images_DE/DE_HS_0037.jpg
Say all lives matter is,Hope_speech,images_DE/DE_HS_0038.jpg
Ive seen hundreds of Madonna interviews and this is completely genuine She is honestly emotional in this Will always love her for fighting for my community and others who have been marginalised,Hope_speech,images_DE/DE_HS_0039.jpg
people who say that coming out is useless should watch this video,Hope_speech,images_DE/DE_HS_0040.jpg
There are nuff people in Istanbul who are not religious It is quite diverse city,Hope_speech,images_DE/DE_HS_0041.jpg
All people equalnNo special interestnStop the panderingnFollow the constitutionnProsecute criminals including bad cops,Hope_speech,images_DE/DE_HS_0042.jpg
Amazing talk What terrible professor to be so discouraging and daring to make fun of studentsthis really triggered me and reminded me of one of my former chemistry professorsso rude that everyone stayed quiet out of fear of her retaliating and giving bad gradesThese people should NOT be teaching Im so glad Debbie didnt give up,Hope_speech,images_DE/DE_HS_0043.jpg
Im lost but surely all lives matter,Hope_speech,images_DE/DE_HS_0044.jpg
America is not Patriarchy,Hope_speech,images_DE/DE_HS_0045.jpg
Im Christian but choose not to judge Its not my place to judge others and so love everyone plus might be lil bi so theres that:person shrugging:,Hope_speech,images_DE/DE_HS_0046.jpg
dont give scrap who hate for me ALL LIVES MATTER regardless of race,Hope_speech,images_DE/DE_HS_0047.jpg
There are lgbtq persons who do bad things Thats given But that shouldnt be the license to hate everybody else in the lgbtq sphere cause lot of us are nice and righteous Generalizing is what needs to go Ps,Hope_speech,images_DE/DE_HS_0048.jpg
Conversion therapy is one of the most fucked up things ever heard Never agreed with it You cant change how someone biologically feels,Hope_speech,images_DE/DE_HS_0049.jpg
can relate with her experience being minority in MecEng Major is really hard but,Hope_speech,images_DE/DE_HS_0050.jpg
All Lives Matter,Hope_speech,images_DE/DE_HS_0051.jpg
Im religious and lesbian,Hope_speech,images_DE/DE_HS_0052.jpg
He would be so disappointed Remember have dream to live in world where my four children will be judged by there character not by there skin color Then black lives matter happens and all lives matter is racist apparently and freedom of speech is dead You disagree your racist or sexist What happened to the world Theres only one race the human race History is not perfect from any perspective Everyone has been slave look at the gladiators for example theres plenty more as well dont forget about prisoners of war You cant sing certain music due to certain words if there so offensive or only one race can say them then take that word out,Hope_speech,images_DE/DE_HS_0053.jpg
